"service_id","date","exception_type"
"TALVI 23-24 Jouluaatto","20231224","1"
"TALVI 23-24 LOPPI ko","20231016","2"
"TALVI 23-24 LOPPI ko","20231017","2"
"TALVI 23-24 LOPPI ko","20231018","2"
"TALVI 23-24 LOPPI ko","20231019","2"
"TALVI 23-24 LOPPI ko","20231020","2"
"TALVI 23-24 LOPPI ko","20231206","2"
"TALVI 23-24 LOPPI ko","20231222","2"
"TALVI 23-24 LOPPI ko","20231225","2"
"TALVI 23-24 LOPPI ko","20231226","2"
"TALVI 23-24 LOPPI ko","20231227","2"
"TALVI 23-24 LOPPI ko","20231228","2"
"TALVI 23-24 LOPPI ko","20231229","2"
"TALVI 23-24 LOPPI ko","20240101","2"
"TALVI 23-24 LOPPI ko","20240102","2"
"TALVI 23-24 LOPPI ko","20240103","2"
"TALVI 23-24 LOPPI ko","20240104","2"
"TALVI 23-24 LOPPI ko","20240105","2"
"TALVI 23-24 LOPPI ko","20240219","2"
"TALVI 23-24 LOPPI ko","20240220","2"
"TALVI 23-24 LOPPI ko","20240221","2"
"TALVI 23-24 LOPPI ko","20240222","2"
"TALVI 23-24 LOPPI ko","20240223","2"
"TALVI 23-24 LOPPI ko","20240329","2"
"TALVI 23-24 LOPPI ko","20240401","2"
"TALVI 23-24 LOPPI ko","20240501","2"
"TALVI 23-24 LOPPI ko","20240509","2"
"TALVI 23-24 Seutu ko","20231016","2"
"TALVI 23-24 Seutu ko","20231017","2"
"TALVI 23-24 Seutu ko","20231018","2"
"TALVI 23-24 Seutu ko","20231019","2"
"TALVI 23-24 Seutu ko","20231020","2"
"TALVI 23-24 Seutu ko","20231206","2"
"TALVI 23-24 Seutu ko","20231222","2"
"TALVI 23-24 Seutu ko","20231225","2"
"TALVI 23-24 Seutu ko","20231226","2"
"TALVI 23-24 Seutu ko","20231227","2"
"TALVI 23-24 Seutu ko","20231228","2"
"TALVI 23-24 Seutu ko","20231229","2"
"TALVI 23-24 Seutu ko","20240101","2"
"TALVI 23-24 Seutu ko","20240102","2"
"TALVI 23-24 Seutu ko","20240103","2"
"TALVI 23-24 Seutu ko","20240104","2"
"TALVI 23-24 Seutu ko","20240105","2"
"TALVI 23-24 Seutu ko","20240226","2"
"TALVI 23-24 Seutu ko","20240227","2"
"TALVI 23-24 Seutu ko","20240228","2"
"TALVI 23-24 Seutu ko","20240229","2"
"TALVI 23-24 Seutu ko","20240301","2"
"TALVI 23-24 Seutu ko","20240329","2"
"TALVI 23-24 Seutu ko","20240401","2"
"TALVI 23-24 Seutu ko","20240501","2"
"TALVI 23-24 Seutu ko","20240509","2"
"TALVI 23-24 Seutu koul. lomat","20231016","1"
"TALVI 23-24 Seutu koul. lomat","20231017","1"
"TALVI 23-24 Seutu koul. lomat","20231018","1"
"TALVI 23-24 Seutu koul. lomat","20231019","1"
"TALVI 23-24 Seutu koul. lomat","20231020","1"
"TALVI 23-24 Seutu koul. lomat","20231222","1"
"TALVI 23-24 Seutu koul. lomat","20231227","1"
"TALVI 23-24 Seutu koul. lomat","20231228","1"
"TALVI 23-24 Seutu koul. lomat","20231229","1"
"TALVI 23-24 Seutu koul. lomat","20240102","1"
"TALVI 23-24 Seutu koul. lomat","20240103","1"
"TALVI 23-24 Seutu koul. lomat","20240104","1"
"TALVI 23-24 Seutu koul. lomat","20240105","1"
"TALVI 23-24 Seutu koul. lomat","20240226","1"
"TALVI 23-24 Seutu koul. lomat","20240227","1"
"TALVI 23-24 Seutu koul. lomat","20240228","1"
"TALVI 23-24 Seutu koul. lomat","20240229","1"
"TALVI 23-24 Seutu koul. lomat","20240301","1"
"TALVI 23-24 Seutu ma-pe","20231206","2"
"TALVI 23-24 Seutu ma-pe","20231225","2"
"TALVI 23-24 Seutu ma-pe","20231226","2"
"TALVI 23-24 Seutu ma-pe","20240101","2"
"TALVI 23-24 Seutu ma-pe","20240329","2"
"TALVI 23-24 Seutu ma-pe","20240401","2"
"TALVI 23-24 Seutu ma-pe","20240501","2"
"TALVI 23-24 Seutu ma-pe","20240509","2"
"TALVI 23-24 ke","20231206","2"
"TALVI 23-24 ke","20240501","2"
"TALVI 23-24 ko","20231016","2"
"TALVI 23-24 ko","20231017","2"
"TALVI 23-24 ko","20231018","2"
"TALVI 23-24 ko","20231019","2"
"TALVI 23-24 ko","20231020","2"
"TALVI 23-24 ko","20231206","2"
"TALVI 23-24 ko","20231222","2"
"TALVI 23-24 ko","20231225","2"
"TALVI 23-24 ko","20231226","2"
"TALVI 23-24 ko","20231227","2"
"TALVI 23-24 ko","20231228","2"
"TALVI 23-24 ko","20231229","2"
"TALVI 23-24 ko","20240101","2"
"TALVI 23-24 ko","20240102","2"
"TALVI 23-24 ko","20240103","2"
"TALVI 23-24 ko","20240104","2"
"TALVI 23-24 ko","20240105","2"
"TALVI 23-24 ko","20240226","2"
"TALVI 23-24 ko","20240227","2"
"TALVI 23-24 ko","20240228","2"
"TALVI 23-24 ko","20240229","2"
"TALVI 23-24 ko","20240301","2"
"TALVI 23-24 ko","20240329","2"
"TALVI 23-24 ko","20240401","2"
"TALVI 23-24 ko","20240501","2"
"TALVI 23-24 ko","20240509","2"
"TALVI 23-24 koul. lomat","20231016","1"
"TALVI 23-24 koul. lomat","20231017","1"
"TALVI 23-24 koul. lomat","20231018","1"
"TALVI 23-24 koul. lomat","20231019","1"
"TALVI 23-24 koul. lomat","20231020","1"
"TALVI 23-24 koul. lomat","20231222","1"
"TALVI 23-24 koul. lomat","20231227","1"
"TALVI 23-24 koul. lomat","20231228","1"
"TALVI 23-24 koul. lomat","20231229","1"
"TALVI 23-24 koul. lomat","20240102","1"
"TALVI 23-24 koul. lomat","20240103","1"
"TALVI 23-24 koul. lomat","20240104","1"
"TALVI 23-24 koul. lomat","20240105","1"
"TALVI 23-24 koul. lomat","20240226","1"
"TALVI 23-24 koul. lomat","20240227","1"
"TALVI 23-24 koul. lomat","20240228","1"
"TALVI 23-24 koul. lomat","20240229","1"
"TALVI 23-24 koul. lomat","20240301","1"
"TALVI 23-24 la","20231104","2"
"TALVI 23-24 la","20240106","2"
"TALVI 23-24 ma","20231225","2"
"TALVI 23-24 ma","20240101","2"
"TALVI 23-24 ma","20240401","2"
"TALVI 23-24 ma-pe","20231206","2"
"TALVI 23-24 ma-pe","20231225","2"
"TALVI 23-24 ma-pe","20231226","2"
"TALVI 23-24 ma-pe","20240101","2"
"TALVI 23-24 ma-pe","20240329","2"
"TALVI 23-24 ma-pe","20240401","2"
"TALVI 23-24 ma-pe","20240501","2"
"TALVI 23-24 ma-pe","20240509","2"
"TALVI 23-24 pe","20240329","2"
"TALVI 23-24 su","20231104","1"
"TALVI 23-24 su","20231206","1"
"TALVI 23-24 su","20231224","2"
"TALVI 23-24 su","20231226","1"
"TALVI 23-24 su","20240101","1"
"TALVI 23-24 su","20240106","1"
"TALVI 23-24 su","20240329","1"
"TALVI 23-24 su","20240401","1"
"TALVI 23-24 su","20240501","1"
"TALVI 23-24 su","20240509","2"
"TALVI 23-24 ti","20231226","2"
"TALVI 23-24 to","20240509","2"
