"route_id","contract_id","update_permission","contract_type"
"701","561911","0","10"
"702","561911","0","10"
"722","561911","0","10"
"903","561911","0","10"
"904","561911","0","10"
"935","687500","0","10"
"936","687500","0","10"
"1501","61701097","0","6"
"1510","61700827","0","1"
"1513","61701097","0","6"
"1514","61701097","0","6"
"1610","61701097","0","6"
"1622","61701097","0","6"
"1632","61701097","0","6"
"1642","61701097","0","6"
"1661","61701097","0","6"
"1684","61701097","0","6"
"2004","61701097","0","6"
"2008","61701097","0","6"
"2012","61701097","0","6"
"2022","61701097","0","6"
"2112","61701097","0","6"
"2300","61701097","0","6"
"2302","61701097","0","6"
"2400","61701097","0","6"
"2401","61701097","0","6"
"2410","61701097","0","6"
"2411","61701097","0","6"
"2420","61701097","0","6"
"2421","61701097","0","6"
"2430","61701097","0","6"
"2440","61701097","0","6"
"2512","61701097","0","6"
"2522","61701097","0","6"
"2622","61701097","0","6"
"2711","604836","0","1"
"3103","61701097","0","6"
"3113","61701097","0","6"
"3123","61701097","0","6"
"3124","61701097","0","6"
"3203","61701097","0","6"
"3204","61701097","0","6"
"3531","2041014","0","6"
"3535","2041014","0","6"
"3550","2041014","0","6"
"3551","2041014","0","6"
"3610","61701097","0","6"
"3612","61701097","0","6"
"3620","61701097","0","6"
"3710","61701097","0","6"
"3734","61701097","0","6"
"4007","640181","0","6"
"4008","640181","0","6"
"4017","640181","0","6"
"4018","640181","0","6"
"4028","640181","0","6"
"4511","605974","0","1"
"5005","2010402","0","6"
"5015","2010402","0","6"
"5103","2010402","0","6"
"5510","644536","0","1"
"5520","644536","0","1"
"6010","622482","0","6"
"6020","622482","0","6"
"6100","622482","0","6"
"6109","622482","0","6"
"6200","622720","0","6"
"6209","622720","0","6"
"6210","622720","0","6"
"6219","622720","0","6"
"6220","622720","0","6"
"6401","604135","0","1"
"6408","604135","0","1"
"6512","60900821","0","6"
"6532","60900821","0","6"
"6542","60900821","0","6"
"6552","60900821","0","6"
"6562","60900821","0","6"
"7000","622482","0","6"
"7009","622482","0","6"
"7019","622482","0","6"
"7020","622482","0","6"
"7029","622482","0","6"
"7030","622482","0","6"
"7109","622482","0","6"
"7510","622724","0","6"
"7649","205404","0","1"
"7659","205404","0","1"
"7669","205404","0","1"
"7679","205404","0","1"
"7689","205404","0","1"
"8005","208403","0","6"
"8025","208403","0","6"
"8202","208403","0","6"
"8619","203405","0","1"
"8629","203405","0","1"
"8639","203405","0","1"
"8649","203405","0","1"
"8659","203405","0","1"
"8689","61501099","0","1"
"8907","208403","0","6"
"9010","596206","0","6"
"9012","596206","0","6"
"9013","596206","0","6"
"9016","596206","0","6"
"9019","596206","0","6"
"9020","622470","0","6"
"9022","622470","0","6"
"9023","622470","0","6"
"9027","622470","0","6"
"9028","622470","0","6"
"9029","622470","0","6"
"9030","596206","0","6"
"9032","596206","0","6"
"9035","596206","0","6"
"9037","596206","0","6"
"9039","596206","0","6"
"9041","622473","0","6"
"9042","622473","0","6"
"9043","622473","0","6"
"9050","622469","0","6"
"9059","622469","0","6"
"9100","622469","0","6"
"9106","622469","0","6"
"9109","622469","0","6"
"9110","596206","0","6"
"9117","596206","0","6"
"9119","596206","0","6"
"9132","215469","0","6"
"9137","215469","0","6"
"9141","215469","0","6"
"9143","215469","0","6"
"9144","215469","0","6"
"9145","215469","0","6"
"9146","215469","0","6"
"9162","215469","0","6"
"9165","215469","0","6"
"9167","215469","0","6"
"9171","215469","0","6"
"9173","215469","0","6"
"9174","215469","0","6"
"9175","215469","0","6"
"9176","215469","0","6"
"9971","604809","0","1"
