"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","bikes_allowed","include_public_feed"
"701","6875","901","PIKA Lahti - Hämeenlinna - Turku","","3","","FFCD42","","0","1"
"702","6875","900","PIKA Turku - Hämeenlinna - Lahti","","3","","FFCD42","","0","1"
"722","6875","900","PIKA Turku - Hämeenlinna - Lahti","","3","","FFCD42","","0","1"
"903","6875","900","PIKA Turku - Hämeenlinna - Lahti","","3","","FFCD42","","0","1"
"904","6875","901","PIKA Lahti-Hml-Turku","","3","","FFCD42","","0","1"
"935","6875","365","365 Riihimäki-Punkka-Tervakoski-Hämeenlinna","","3","","FFCD42","","0","1"
"936","6875","365","365 Hml las-Tervakoski-Riihimäki","","3","","FFCD42","","0","1"
"1501","6957","150","150 Tervakoski las-Leppäkoski-Kiipula-Turenki las","","3","","","","0","1"
"1510","6757","151","151 Turenki-Kiipula-Leppäkoski-Tervakoski","","3","","","","0","1"
"1513","6957","151","151 Tervakoski-Leppäkoski-Kiipula-Turenki","","3","","","","0","1"
"1514","6957","151","151 Turenki las-Kiipula-Tervakoski las-Tervak. koulu","","3","","","","0","1"
"1610","6957","161","161 Hakoistentie- Tarinmaa-Turenki","","3","","","","0","1"
"1622","6957","162","162 Turenki-Kiianlinna-Tarinmaa","","3","","","","0","1"
"1632","6957","163","163 Turenki-Tervakoski","","3","","","","0","1"
"1642","6957","164","164 Tervakoski-Rehakka-Hyvikkälä-Lauttiankulma-Virala-Tarinmaa-turenki","","3","","","","0","1"
"1661","6957","166","166 Turenki- Rehakka-Vähikkälä-Tervakoski","","3","","","","0","1"
"1684","6957","168","168 Kuusalmmintie th-Tarinmaa-Turenki","","3","","","","0","1"
"2004","6957","200","200 Turenki -Rastikangas-Miemala-Visamäki-Tavastia-Hml","","3","","","","0","1"
"2008","6957","200","200 Hml-Tavastia-Visamäki-Miemala-Rastikangas-Turenki","","3","","","","0","1"
"2012","6957","201","201 Turenki-Harviala-Heinäjoki-Turenki","","3","","","","0","1"
"2022","6957","202","202 Turenki-Kauriinmaa-Heinäjoki koulu-Turenki","","3","","","","0","1"
"2112","6957","211","211 Saloinen-Jokimaa-Mallinkainen-Tanttala-Turenki-","","3","","","","0","1"
"2300","6957","230","230 Hämeenlinna-Visamäki-Turenki-Leppäkoski","","3","","","","0","1"
"2302","6957","230","230 Leppäkoski-Kiipula-Kuumola-Turenki-Rastikangas-Miemala-Hml","","3","","","","0","1"
"2400","6957","240","240 Tervakoski las-Leppäkoski-Kiipula-Turenki-Rastikangas-Visamäki-Tavastia-Hml","","3","","","","0","1"
"2401","6957","240","240 Hml-Rastikangas-Turenki-Kiipula-Tervakoski las","","3","","","","0","1"
"2410","6957","241","241 Tervakoski las-Leppäkoski-KiipulaTurenki-Rastikangas-Miemala-Hml","","3","","","","0","1"
"2411","6957","241","241 Hml-Rastikangas-Turenki-Kiipula-Tervakoski las-Tervak. koulu","","3","","","","0","1"
"2420","6957","242","242 Tervak.koulu-Tervak.las-Hallakorpi-Kiipula-Kuumola-Turenki-Rastikangas-Miemala-Hml","","3","","","","0","1"
"2421","6957","242","242 Hml-Rastikangas-Turenki-Kiipula-Hallakorpi-Tervakoski","","3","","","","0","1"
"2430","6957","243","243 Hml-Rastikangas-Turenki-Kiipula-Tervakoski-Vähikkälä","","3","","","","0","1"
"2440","6957","244","244 Hml-Rastikangas-Turenki-Kiipula-Tervakoski-Vähikkälä","","3","","","","0","1"
"2512","6957","251","251 Turenki-Heinäjoki-Mallinkainen-Tanttala-Löyttymäki-Saloinen-Heinäjoki-Turenki","","3","","","","0","1"
"2522","6957","252","252 Turenki-Kerkkola-Löyttymäki-Tanttala-Heinäjoki-Turenki","","3","","","","0","1"
"2622","6957","262","262 Turenki-Tarinmaa-Hyvikkälä-Virala-Turenki","","3","","","","0","1"
"2711","6757","271","271 Tassu-bussi","","715","","","","0","1"
"3103","6957","310","310 Hämeenlinna-Tavastia-Visamäki-Tervakoski las","","3","","","","0","1"
"3113","6957","311","311 Hml-Tavastia-Visamäki-Tervakoski las-Tervakoski alakoulu","","3","","","","0","1"
"3123","6957","312","312 Hämeenlinna-Tavastia-Visamäki-Tervakoski-Vähikkälä","","3","","","","0","1"
"3124","6957","312","312 Vähikkälä-Tervakoski-Visamäki-Tavastia-Hml","","3","","","","0","1"
"3203","6957","320","320 Hämeenlinna-Tavastia-Visamäki-Uhkoila-Tervakoski las-Tervakoski koulu","","3","","","","0","1"
"3204","6957","320","320 Tervakoski koulu-Tervakoski las-Uhkoila-Visamäki-Tavastia-Hml","","3","","","","0","1"
"3531","6957","353","353 Tervakoski-Punkka-Riihimäki","","3","","","","0","1"
"3535","6957","353","353 Riihimäki-Punkka-Tervakoski","","3","","","","0","1"
"3550","6957","355","355 Tervakosken koulu-las-Punkka-Riihimäki","","3","","","","0","1"
"3551","6957","355","355 Riihimäki-Punkka-Tervakoski las-koulu","","3","","","","0","1"
"3610","6957","361","361 Tervakoski las-Tervakoski koulu- Vähikkälä","","3","","","","0","1"
"3612","6957","361","361 Vähikkälä-Tervakoski koulu-Tervakoski las","","3","","","","0","1"
