"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id","bikes_allowed","trip_short_name","wheelchair_accessible"
"701","TALVI 23-24 Jouluaatto","TALVI_23-24_Jouluaatto_701_0_105500_105500_0","","0","","37","0","","2"
"701","TALVI 23-24 la","TALVI_23-24_la_701_0_114700_124600_0","","0","","110","0","","2"
"701","TALVI 23-24 ma-pe","TALVI_23-24_ma-pe_701_0_114700_124600_0","","0","","110","0","","2"
"701","TALVI 23-24 su","TALVI_23-24_su_701_0_114700_124600_0","","0","","110","0","","2"
"702","TALVI 23-24 la","TALVI_23-24_la_702_0_174600_185600_0","","0","","137","0","900","2"
"702","TALVI 23-24 ma-pe","TALVI_23-24_ma-pe_702_0_174600_185600_0","","0","","137","0","900","2"
"702","TALVI 23-24 pe","TALVI_23-24_pe_702_0_140100_150300_0","","0","","137","0","","2"
"702","TALVI 23-24 su","TALVI_23-24_su_702_0_174600_185600_0","","0","","137","0","900","2"
"722","TALVI 23-24 Jouluaatto","TALVI_23-24_Jouluaatto_722_0_140000_140000_0","","0","","102","0","","2"
"722","TALVI 23-24 Jouluaatto","TALVI_23-24_Jouluaatto_722_0_172600_172600_0","","0","","137","0","","2"
"722","TALVI 23-24 la","TALVI_23-24_la_722_0_133600_143600_0","","0","","137","0","","2"
"722","TALVI 23-24 su","TALVI_23-24_su_722_0_133600_143600_0","","0","","137","0","","2"
"903","TALVI 23-24 la","TALVI_23-24_la_903_0_223600_233800_0","","0","","102","0","","2"
"903","TALVI 23-24 ma-pe","TALVI_23-24_ma-pe_903_0_223600_233600_0","","0","","102","0","","2"
"903","TALVI 23-24 su","TALVI_23-24_su_903_0_223600_233600_0","","0","","102","0","","2"
"904","TALVI 23-24 la","TALVI_23-24_la_904_0_143200_154000_0","","0","","110","0","901","2"
"904","TALVI 23-24 la","TALVI_23-24_la_904_0_163200_174000_0","","0","","110","0","901","2"
"904","TALVI 23-24 ma-pe","TALVI_23-24_ma-pe_904_0_163200_174000_0","","0","","110","0","901","2"
